#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
2 2.25 0 1 8.25 8.5 226.5508450491872 0.02319333581681349
2 2.25 0 1 8.5 8.75 206.9444312973015 0.02018557550377409
2 2.25 0 1 8.75 9 189.5023127117653 0.1881698236704779
2 2.25 0 1 9 9.25 173.9388576183858 0.1671675261795258
2 2.25 0 1 9.25 9.5 160.0099771385423 0.1487337357016827
2 2.25 0 1 9.5 9.75 147.5088978933587 0.1325114803472331
2 2.25 0 1 9.75 10 136.2591899730163 0.1182000724685679
2 2.25 0 1 10 20 1909.243170850422 0.9383102274016437
2 2.25 1 2 0 0.25 1312.234811601928 456.855795665373
2 2.25 1 2 0.25 0.5 4566.29515094505 8.634749087636287
2 2.25 1 2 0.5 0.75 6864.273014626408 52.29944551685457
2 2.25 1 2 0.75 1 8380.225829745679 56.51428012272282
2 2.25 1 2 1 1.25 9968.196164662018 23.38554311547758
2 2.25 1 2 1.25 1.5 12624.52423441617 24.5648407950621
2 2.25 1 2 1.5 1.75 14516.38853571711 11.57579479751259
2 2.25 1 2 1.75 2 14417.74735103988 8.767413404162522
2 2.25 1 2 2 2.25 12648.49332473111 9.000689968462471
2 2.25 1 2 2.25 2.5 10160.52190394175 8.385701302407943
2 2.25 1 2 2.5 2.75 7779.165918619134 0.5845415366074866
2 2.25 1 2 2.75 3 5894.439740964519 0.7263194628133257
2 2.25 1 2 3 3.25 4534.146007739246 0.7795268797341555
2 2.25 1 2 3.25 3.5 3556.485867213071 0.6995114053437246
2 2.25 1 2 3.5 3.75 2878.864293489521 0.6133094616217337
2 2.25 1 2 3.75 4 2391.646471969952 0.5226484211721072
2 2.25 1 2 4 4.25 2005.237375462326 0.4384023676109337
2 2.25 1 2 4.25 4.5 1695.125717306097 0.3648209353259517
2 2.25 1 2 4.5 4.75 1443.839019039809 0.3024334290371371
2 2.25 1 2 4.75 5 1238.357117667559 1.225490395516999
2 2.25 1 2 5 5.25 1069.00215662945 0.937393179187211
2 2.25 1 2 5.25 5.5 928.3197993441578 0.7081785499366333
2 2.25 1 2 5.5 5.75 810.6156321570336 0.5249520154716265
2 2.25 1 2 5.75 6 711.4744911527816 0.6996804601852773
2 2.25 1 2 6 6.25 627.4551699720301 0.5988701262961058
2 2.25 1 2 6.25 6.5 555.8327121778584 0.514448011820491
2 2.25 1 2 6.5 6.75 494.4429281956785 0.44342988830698
2 2.25 1 2 6.75 7 441.5544693375311 0.383416110075359
2 2.25 1 2 7 7.25 395.7706849580733 0.3324813859849769
2 2.25 1 2 7.25 7.5 355.9565906522246 0.2890576243593728
2 2.25 1 2 7.5 7.75 321.186692170786 0.2518868463650392
2 2.25 1 2 7.75 8 290.6990728889068 0.2199559750430353
2 2.25 1 2 8 8.25 263.8643416490027 0.1924248874605041
2 2.25 1 2 8.25 8.5 240.1602682482308 0.1686149634680021
2 2.25 1 2 8.5 8.75 219.1497746707619 0.1636361433188256
2 2.25 1 2 8.75 9 200.4665089184061 0.1721138102559223
2 2.25 1 2 9 9.25 183.8018888569611 0.1782932285969139
2 2.25 1 2 9.25 9.5 168.8999176157839 0.10071932677468
2 2.25 1 2 9.5 9.75 155.5264380597758 0.08880132637938232
2 2.25 1 2 9.75 10 143.4980641708712 0.07834560882025698
2 2.25 1 2 10 20 1975.487018629293 0.4921003622130229
2 2.25 2 2.5 0 0.25 5492.083074708236 1075.897175508879
2 2.25 2 2.5 0.25 0.5 16346.60309166786 121.3094612986418
2 2.25 2 2.5 0.5 0.75 25762.12898075353 43.74050000484252
2 2.25 2 2.5 0.75 1 33347.15444889558 20.12772277265114
2 2.25 2 2.5 1 1.25 38969.01767610401 13.07783680114464
2 2.25 2 2.5 1.25 1.5 40725.01478551453 38.99555776490595
2 2.25 2 2.5 1.5 1.75 36681.69653031482 10.24315049407809
2 2.25 2 2.5 1.75 2 28550.41923624995 14.9749634815197
2 2.25 2 2.5 2 2.25 19514.42637629053 1.316953312666509
2 2.25 2 2.5 2.25 2.5 12066.56675582571 1.666726107997907
